1,Empresa Pública,Indireta
2,Banco Público,Indireta
3,Autarquia/Fundação,Indireta
7,Autarquia/Fundação,Indireta
8,Autarquia/Fundação,Indireta
14,Ministério,Direta
25,Empresa Pública,Indireta
26,Presidência,Direta
27,Presidência,Direta
46,Ministério,Direta
73,Empresa Pública,Indireta
74,Empresa Pública,Indireta
75,Empresa Pública,Indireta
89,Ministério,Direta
90,Empresa Pública,Indireta
91,Empresa Pública,Indireta
92,Empresa Pública,Indireta
93,Banco Público,Indireta
134,Empresa Pública,Indireta
166,Autarquia/Fundação,Indireta
169,Empresa Pública,Indireta
171,Banco Público,Indireta
172,Banco Público,Indireta
173,Autarquia/Fundação,Indireta
180,Empresa Pública,Indireta
181,Empresa Pública,Indireta
182,Empresa Pública,Indireta
183,Empresa Pública,Indireta
208,Empresa Pública,Indireta
221,Autarquia/Fundação,Indireta
223,Autarquia/Fundação,Indireta
224,Empresa Pública,Indireta
226,Empresa Pública,Indireta
227,Empresa Pública,Indireta
228,Empresa Pública,Indireta
235,Autarquia/Fundação,Indireta
240,Autarquia/Fundação,Indireta
244,Ministério,Direta
249,Autarquia/Fundação,Indireta
250,Autarquia/Fundação,Indireta
253,Autarquia/Fundação,Indireta
256,IFES,Indireta
257,Autarquia/Fundação,Indireta
258,Empresa Pública,Indireta
260,IFES,Indireta
261,Autarquia/Fundação,Indireta
263,Ministério,Direta
299,Autarquia/Fundação,Indireta
303,Empresa Pública,Indireta
304,Ministério,Direta
315,Autarquia/Fundação,Indireta
322,Autarquia/Fundação,Indireta
367,Autarquia/Fundação,Indireta
372,Empresa Pública,Indireta
382,Autarquia/Fundação,Indireta
415,IFES,Indireta
416,IFES,Indireta
417,IFES,Indireta
418,IFES,Indireta
419,IFES,Indireta
420,IFES,Indireta
421,IFES,Indireta
422,IFES,Indireta
423,IFES,Indireta
424,IFES,Indireta
425,IFES,Indireta
426,IFES,Indireta
427,IFES,Indireta
428,IFES,Indireta
429,IFES,Indireta
430,IFES,Indireta
431,IFES,Indireta
432,IFES,Indireta
433,IFES,Indireta
434,IFES,Indireta
439,IFES,Indireta
444,IFES,Indireta
445,IFES,Indireta
448,IFES,Indireta
451,IFES,Indireta
453,IFES,Indireta
454,IFES,Indireta
455,IFES,Indireta
456,IFES,Indireta
457,IFES,Indireta
458,IFES,Indireta
459,IFES,Indireta
460,IFES,Indireta
461,IFES,Indireta
462,IFES,Indireta
463,IFES,Indireta
464,IFES,Indireta
465,IFES,Indireta
466,IFES,Indireta
467,IFES,Indireta
468,IFES,Indireta
469,IFES,Indireta
470,IFES,Indireta
471,IFES,Indireta
472,IFES,Indireta
473,IFES,Indireta
474,IFES,Indireta
475,IFES,Indireta
476,IFES,Indireta
477,IFES,Indireta
478,Autarquia/Fundação,Indireta
701,Empresa Pública,Indireta
702,Empresa Pública,Indireta
758,Empresa Pública,Indireta
827,IFES,Indireta
930,Empresa Pública,Indireta
956,Autarquia/Fundação,Indireta
957,Empresa Pública,Indireta
958,Empresa Pública,Indireta
959,Empresa Pública,Indireta
970,IFES,Indireta
984,Autarquia/Fundação,Indireta
1013,Empresa Pública,Indireta
1209,IFES,Indireta
1408,Presidência,Direta
1605,IFES,Indireta
1710,IFES,Indireta
1734,IFES,Indireta
1782,Autarquia/Fundação,Indireta
1799,Autarquia/Fundação,Indireta
1800,Empresa Pública,Indireta
1812,Autarquia/Fundação,Indireta
1913,Autarquia/Fundação,Indireta
1927,Ministério,Direta
1934,Autarquia/Fundação,Indireta
1949,Presidência,Direta
2026,Empresa Pública,Indireta
2045,Autarquia/Fundação,Indireta
2114,Empresa Pública,Indireta
2207,Autarquia/Fundação,Indireta
2330,Autarquia/Fundação,Indireta
2837,Presidência,Direta
2846,Ministério,Direta
2852,Ministério,Direta
3561,IFES,Indireta
4243,Agência Reguladora,Indireta
8406,Autarquia/Fundação,Indireta
21089,Agência Reguladora,Indireta
25064,Agência Reguladora,Indireta
25281,Agência Reguladora,Indireta
29415,Empresa Pública,Indireta
36687,Agência Reguladora,Indireta
41066,Ministério,Direta
42673,Presidência,Direta
45013,Agência Reguladora,Indireta
46784,IFES,Indireta
46876,Agência Reguladora,Indireta
47388,Autarquia/Fundação,Indireta
47838,Empresa Pública,Indireta
47839,Empresa Pública,Indireta
48739,Empresa Pública,Indireta
49103,IFES,Indireta
52702,IFES,Indireta
54793,Agência Reguladora,Indireta
54843,Agência Reguladora,Indireta
54844,Autarquia/Fundação,Indireta
55962,Empresa Pública,Indireta
57682,Agência Reguladora,Indireta
67671,IFES,Indireta
69624,IFES,Indireta
72080,Presidência,Direta
72084,Ministério,Direta
76608,Empresa Pública,Indireta
83815,Empresa Pública,Indireta
84703,IFES,Indireta
84710,IFES,Indireta
84712,IFES,Indireta
86144,Agência Reguladora,Indireta
86567,Empresa Pública,Indireta
91138,Autarquia/Fundação,Indireta
91144,Autarquia/Fundação,Indireta
91842,Autarquia/Fundação,Indireta
94427,IFES,Indireta
94428,IFES,Indireta
94430,IFES,Indireta
94739,IFES,Indireta
98519,Empresa Pública,Indireta
100113,Autarquia/Fundação,Indireta
100584,Autarquia/Fundação,Indireta
100900,IFES,Indireta
100901,IFES,Indireta
100902,IFES,Indireta
100903,IFES,Indireta
100904,IFES,Indireta
100905,IFES,Indireta
100906,IFES,Indireta
100907,IFES,Indireta
100908,IFES,Indireta
100909,IFES,Indireta
100910,IFES,Indireta
100911,IFES,Indireta
100912,IFES,Indireta
100913,IFES,Indireta
100914,IFES,Indireta
100915,IFES,Indireta
100916,IFES,Indireta
100917,IFES,Indireta
100918,IFES,Indireta
100919,IFES,Indireta
100920,IFES,Indireta
100921,IFES,Indireta
100922,IFES,Indireta
100930,IFES,Indireta
100931,IFES,Indireta
103730,IFES,Indireta
104667,IFES,Indireta
105793,IFES,Indireta
105915,Autarquia/Fundação,Indireta
109912,IFES,Indireta
109913,Empresa Pública,Indireta
117267,Empresa Pública,Indireta
118698,Empresa Pública,Indireta
119672,Empresa Pública,Indireta
120397,Empresa Pública,Indireta
122378,IFES,Indireta
122381,IFES,Indireta
122386,IFES,Indireta
122391,IFES,Indireta
200000,Entidade Constituinte,Não se aplica
200001,Entidade Constituinte,Não se aplica
200949,Empresa Pública,Indireta
208613,Entidade Constituinte,Não se aplica
214460,Ministério,Direta
219924,Presidência,Direta
219925,Ministério,Direta
219927,Presidência,Direta
222120,Agência Reguladora,Indireta
226371,IFES,Indireta
226372,IFES,Indireta
226373,IFES,Indireta
227867,IFES,Indireta
227868,IFES,Indireta
235874,Ministério,Direta
235876,Ministério,Direta
235880,Ministério,Direta
235881,Ministério,Direta
235884,Autarquia de Natureza Especial,Indireta
241361,IFES,Indireta
260668,Ministério,Direta
264359,Ministério,Direta
267175,Ministério,Direta
273855,Autarquia de Natureza Especial,Indireta
276368,Ministério,Direta
287325,Empresa Pública,Indireta
292009,Empresa Pública,Indireta
300037,Empresa Pública,Indireta
